subject	phase	exponent_grad	theta_band_power_grad	alpha_band_power_grad	alpha_peak_freq_grad	beta_band_power_grad	beta_peak_freq_grad
CC410179	p2	0.8682631862077687	0.814266823817377	1.480017885663663	9.698332542813905	0.6983096509785494	19.87006367972258
CC410182	p2	0.6791883361783746	0.095911216445617	0.3377345726772092	11.00818408201438	0.4616796927632839	19.08578988647568
CC410243	p2	0.9039452300944236	0.1821150632455847	0.4100199655468759	10.218865950788716	0.5760959050788304	16.74666870073008
CC410297	p2	0.984644579178943	0.2499647644613969	0.9483197689563144	8.583220746098435	0.6524961211460529	17.3217668284512
CC410325	p2	0.783538634782467	0.119527659635681	0.4314775455424105	10.079934987810216	0.2938331808538005	24.489597842654053
CC410354	p2	0.8823616945959959	0.1883206317129933	0.6359806760770158	10.090715860010828	0.4327130062853211	21.656697690306174
CC410390	p2	0.8696906120476728	0.2942848766873176	0.901743828421668	10.251393016139566	0.3697644991709576	21.536041338557123
CC420004	p2	0.8240164554295811	0.2671978645256347	0.80265474095696	10.159194371843242	0.4037369238963597	18.34578422401336
CC420075	p2	0.7011763874326775	0.2514192804347742	0.6882043776404413	9.719565487033307	0.6727180629797895	18.678729115251414
CC420094	p2	0.7693157686718538	0.1317285680670774	0.2827833092044616	9.983315301069544	0.2453580801344783	21.97503162177426
CC420149	p2	1.1644464700614063	0.6193646247992309	0.5090191085671569	9.326569160621087	0.3967436910588954	17.18901720570586
CC420157	p2	0.7962373788352213	0.7123053308318423	0.660090335604781	9.301359416294789	0.4133453408328835	19.2286874719606
CC420173	p2	0.9715446377387292	0.2519738874704675	0.7988483338942712	10.275874190416886	0.4342511399650216	21.006296362851614
CC420198	p2	1.154489556685595	0.2731405436481252	0.777071029508695	9.860437804859645	0.6596426359679021	15.448702782534744
CC420202	p2	0.7110937018248156	0.1894702737283767	0.2784393920260877	10.453370195337872	0.5612762612079152	22.37038242149486
CC420204	p2	0.8590423532477985	0.5043532223336111	0.8991484273740692	9.329868610074382	0.6110119743772652	18.46643857302815
