theta_peak_freq,Aperiodic_mode,Counts
5.380166803978362,Knee,35
7.045835998027413,Knee,111
6.862084599800565,Knee,103
7.621467215200414,Knee,38
6.287311223650787,Knee,7
7.216375347875448,Knee,4
5.432963992419745,Knee,22
7.306151399942228,Knee,26
7.759672759155167,Knee,29
6.187161066988074,Knee,33
7.4616807048843246,Knee,187
6.290097982385016,Knee,34
7.260446553090853,Knee,201
5.659935825509202,Knee,44
7.560237554902255,Knee,33
4.932990139059437,Knee,131
6.7078682961815925,Knee,68
7.68241728350689,Knee,77
7.324073872638791,Knee,43
7.36501794591432,Knee,100
7.384680316561088,Knee,6
6.405334469280121,Knee,47
4.468443987638559,Knee,29
7.093472248673021,Knee,47
7.143446076414071,Knee,37
7.077295216173601,Knee,2
7.295688181974399,Knee,13
7.49362506638163,Knee,164
6.927213346743801,Knee,63
7.37942558385888,Knee,98
5.300943269642935,Knee,45
5.592714587574792,Knee,60
7.771782774475511,Knee,120
7.133795036795919,Knee,37
6.537508060114684,Knee,62
6.027688918741545,Knee,26
5.450919420096052,Knee,25
6.662655915674855,Knee,17
7.0336718338462845,Knee,170
7.637943990559296,Knee,38
6.526876923582365,Knee,17
5.623553482058722,Knee,20
7.203575846145037,Knee,30
5.510851802674773,Knee,93
6.924910808923747,Knee,43
7.4303273692104685,Knee,23
6.140112928552684,Knee,56
6.080086176204397,Knee,5
6.14269815699162,Knee,114
7.5636927073876645,Knee,161
6.174593560671355,Knee,46
6.154816477661942,Knee,68
4.548678950442222,Knee,2
6.7009915126637285,Knee,15
7.172078981076174,Knee,139
6.683949367519396,Knee,34
5.919975422724195,Knee,4
5.742706144983949,Knee,9
7.11691124581907,Knee,195
6.281304985462023,Knee,39
6.90250533193666,Knee,37
5.870995507042366,Knee,70
7.035705778723727,Knee,55
6.249174398661292,Knee,91
5.61710538809991,Knee,38
7.233775104080986,Knee,110
4.795934281251905,Knee,141
6.705140862838748,Knee,116
7.407630995444487,Knee,11
5.108508157330995,Knee,19
5.961500527457298,Knee,9
6.427450463926897,Knee,42
6.636283711127195,Knee,66
7.710401416860997,Knee,177
7.1426349209580575,Knee,59
6.3607543608791755,Knee,101
6.24829486185402,Knee,116
5.5167620344071695,Knee,9
5.655185689424967,Knee,24
7.0949275102701455,Knee,14
6.570244595176214,Knee,143
6.443873874224867,Knee,114
7.017225516166122,Knee,27
7.731027287925242,Knee,168
7.649212047032501,Knee,4
,Knee,0
7.799048100424569,Knee,47
4.617178508852881,Knee,25
5.355804687667958,Knee,73
6.2545848332526965,Knee,97
6.746916214539018,Knee,26
5.824470001580818,Knee,70
6.885515335763563,Knee,14
7.1882583148473165,Knee,95
7.752441185817657,Knee,165
5.0217838583425545,Knee,79
6.846579512407907,Knee,19
5.187219527674748,Knee,149
7.106604210029188,Knee,76
6.783434148824738,Knee,108
7.349971547795776,Knee,65
7.31130324130412,Knee,83
6.538552881631388,Knee,14
7.000613609324776,Knee,4
4.278384830859047,Knee,88
7.507397425646075,Knee,82
7.530952157647772,Knee,136
7.429349559901144,Knee,29
7.280953042276775,Knee,127
7.13526904542716,Knee,101
7.39383648804148,Knee,65
6.757585203471012,Knee,193
6.815870531413667,Knee,170
6.878424977010018,Knee,83
6.128052570553862,Knee,14
7.399222950832081,Knee,12
5.879449594897866,Knee,35
7.234334494130016,Knee,85
7.336051021864372,Knee,116
7.750263556202142,Knee,47
