r_squared,Aperiodic_mode,Counts
0.9522038996371435,Knee,204
0.9435330589268076,Knee,204
0.9607524883358919,Knee,204
0.9566796365381548,Knee,204
0.9720724074098275,Knee,204
0.9706468865055008,Knee,204
0.9615554221123951,Knee,204
0.9473222863621032,Knee,204
0.9609102515243998,Knee,204
0.9368008937180936,Knee,204
0.9790475126554082,Knee,204
0.9820319288691262,Knee,204
0.9303736928423507,Knee,204
0.9548331613833249,Knee,204
0.9640616428426969,Knee,204
0.9468714477929143,Knee,204
0.9637764399157928,Knee,204
0.8808666924032463,Knee,204
0.8824985142160598,Knee,204
0.9709315380138805,Knee,204
0.9660517827710634,Knee,204
0.9427690744112763,Knee,204
0.9661557265741687,Knee,204
0.9747441534902526,Knee,204
0.9550052761136137,Knee,204
0.9870987525231264,Fixed,204
0.9744404506666701,Fixed,204
0.942790350636098,Fixed,204
0.9855111529660061,Fixed,204
0.973855373329445,Fixed,204
0.9800626795054295,Fixed,204
0.9825706561827117,Fixed,204
0.9690055963876661,Fixed,204
0.9808398191956678,Fixed,204
0.9747792234267006,Fixed,204
0.9847329367017345,Fixed,204
0.9817716551195718,Fixed,204
0.9801466714515606,Fixed,204
0.9771160432382395,Fixed,204
0.9790496717848951,Fixed,204
0.9716442389941404,Fixed,204
0.9846952135492959,Fixed,204
0.9525249107874312,Fixed,204
0.9858029125442376,Fixed,204
0.9845842667927874,Fixed,204
0.981278880637822,Fixed,204
0.974334162078154,Fixed,204
0.9783165011170708,Fixed,204
0.9864952523988854,Fixed,204
0.9824452140835465,Fixed,204
0.9677406426518212,Fixed,204
0.9816358793190301,Fixed,204
0.9563652838001327,Fixed,204
0.971929533446631,Fixed,204
0.979554593884516,Fixed,204
0.9594144340508299,Fixed,204
0.9812884788833083,Fixed,204
0.9768643964313596,Fixed,204
0.9829151257856786,Fixed,204
0.9452647816513746,Fixed,204
0.9772315711309119,Fixed,204
0.9837562043943339,Fixed,204
0.9817556615761049,Fixed,204
0.982724241922264,Fixed,204
0.9831953944325179,Fixed,204
0.9679877176774034,Fixed,204
0.9812131740818647,Fixed,204
0.9796353961151886,Fixed,204
0.9876031568423235,Fixed,204
0.9784359638779323,Fixed,204
0.9691170767578592,Fixed,204
0.9742677132675814,Fixed,204
0.9665608331898059,Fixed,204
0.9816276567717566,Fixed,204
0.9775730323136564,Fixed,204
0.9841720626554009,Fixed,204
0.9829920068346576,Fixed,204
0.9676578407355976,Fixed,204
0.9864040594843323,Fixed,204
0.9842483110343244,Fixed,204
0.9575903126825438,Fixed,204
0.9733824434048518,Fixed,204
0.9811872756920152,Fixed,204
0.9631453750591392,Fixed,204
0.976424608631474,Fixed,204
0.9792530812356739,Fixed,204
0.9748698059279804,Fixed,204
0.9755857369859035,Fixed,204
0.9634926407572665,Fixed,204
0.9849702190447743,Fixed,204
0.969705034299613,Fixed,204
0.9753770946662729,Fixed,204
0.9839793488982231,Fixed,204
0.9741032550204851,Fixed,204
0.9804837542521615,Fixed,204
0.9806960677512254,Fixed,204
0.9830056044357467,Fixed,204
0.9686883200965277,Fixed,204
0.9793834255271853,Fixed,204
0.9746465787816294,Fixed,204
0.9840358060254295,Fixed,204
0.9725896770695976,Fixed,204
0.9825132076404876,Fixed,204
0.9836172736683642,Fixed,204
0.9877082076766077,Fixed,204
0.9838566448859386,Fixed,204
0.981199855233852,Fixed,204
0.9826037586608771,Fixed,204
0.975458800849,Fixed,204
0.979128197269079,Fixed,204
0.9587473476129864,Fixed,204
0.9859364331359927,Fixed,204
0.983849878022933,Fixed,204
0.9834400419468603,Fixed,204
0.9808196396071768,Fixed,204
0.978338908424986,Fixed,204
0.9754083423628379,Fixed,204
0.982250866127813,Fixed,204
0.9836455288768211,Fixed,204
0.9823514295357217,Fixed,204
0.9817445331856215,Fixed,204
0.9722533991490199,Fixed,204
0.9570570586362033,Fixed,204
0.9632741774133711,Fixed,204
0.9846582292267266,Fixed,204
0.9809774410470924,Fixed,204
0.9699542891479968,Fixed,204
0.9774452290287203,Fixed,204
0.9769280170441277,Fixed,204
0.963010940430743,Fixed,204
0.9778615722757831,Fixed,204
0.9818036946932873,Fixed,204
0.9765239351171113,Fixed,204
0.9690012180513577,Fixed,204
0.9756813539691273,Fixed,204
0.9838313353197846,Fixed,204
0.972709361887162,Fixed,204
0.9794082544288406,Fixed,204
0.9691405331253734,Fixed,204
0.9848219042428589,Fixed,204
0.9725299572599243,Fixed,204
0.9600439576597473,Fixed,204
0.9709549347272258,Fixed,204
0.9829014799907726,Fixed,204
0.9745418274927318,Fixed,204
0.9558709519502396,Fixed,204
0.9825541146241752,Fixed,204
0.9841885093004816,Fixed,204
0.973215418636077,Fixed,204
0.9850367935680987,Fixed,204
0.9301160632980077,Fixed,204
0.9364755004487598,Fixed,204
0.9830021109609057,Fixed,204
0.9811608667761927,Fixed,204
0.9749320841772916,Fixed,204
0.9835461677586008,Fixed,204
0.9836069730213075,Fixed,204
0.9768443035868661,Fixed,204
0.9817783648057615,Fixed,204
0.9737361246713985,Fixed,204
0.9564402008216157,Fixed,204
0.9813375683646716,Fixed,204
0.9438484403611502,Fixed,204
0.9800687094280779,Fixed,204
0.9756185387050723,Fixed,204
0.9746815629311794,Fixed,204
0.979477304885018,Fixed,204
0.9818454634595958,Fixed,204
0.9820245522010422,Fixed,204
0.9804378480367952,Fixed,204
0.9785774866420505,Fixed,204
0.9777902409462612,Fixed,204
0.955983846967474,Fixed,204
0.9778554600608488,Fixed,204
0.9783708084273691,Fixed,204
0.9525968198783515,Fixed,204
0.9839656276600115,Fixed,204
0.9807676946724262,Fixed,204
0.9842458485686759,Fixed,204
0.975890303232402,Fixed,204
0.9763281514183391,Fixed,204
0.9862892886023233,Fixed,204
0.9823105460398787,Fixed,204
0.976973695279173,Fixed,204
0.9776953487593792,Fixed,204
0.968485039579121,Fixed,204
0.9713087932355461,Fixed,204
0.9754611263768834,Fixed,204
0.9355857448440921,Fixed,204
0.983232171011876,Fixed,204
0.9773260781302643,Fixed,204
0.9806398868308206,Fixed,204
0.9643596099499542,Fixed,204
0.975273684165111,Fixed,204
