Parameter	Effect	basic_main_Estimate	basic_main_SE	basic_main_T-stat	basic_main_DF	basic_main_P-val	basic_main_P-corrected	onecov_emptyroom_Estimate	onecov_emptyroom_SE	onecov_emptyroom_T-stat	onecov_emptyroom_DF	onecov_emptyroom_P-val	onecov_emptyroom_P-corrected	onecov_ecg_Estimate	onecov_ecg_SE	onecov_ecg_T-stat	onecov_ecg_DF	onecov_ecg_P-val	onecov_ecg_P-corrected	sixcov_Estimate	sixcov_SE	sixcov_T-stat	sixcov_DF	sixcov_P-val	sixcov_P-corrected	control_ignorepeaks_Estimate	control_ignorepeaks_SE	control_ignorepeaks_T-stat	control_ignorepeaks_DF	control_ignorepeaks_P-val	control_ignorepeaks_P-corrected	control_nointerpol_Estimate	control_nointerpol_SE	control_nointerpol_T-stat	control_nointerpol_DF	control_nointerpol_P-val	control_nointerpol_P-corrected	control_cardiacMEGonly_Estimate	control_cardiacMEGonly_SE	control_cardiacMEGonly_T-stat	control_cardiacMEGonly_DF	control_cardiacMEGonly_P-val	control_cardiacMEGonly_P-corrected	control_withcardiac_Estimate	control_withcardiac_SE	control_withcardiac_T-stat	control_withcardiac_DF	control_withcardiac_P-val	control_withcardiac_P-corrected	control_ECGchannel_Estimate	control_ECGchannel_SE	control_ECGchannel_T-stat	control_ECGchannel_DF	control_ECGchannel_P-val	control_ECGchannel_P-corrected	control_emptyroom_Estimate	control_emptyroom_SE	control_emptyroom_T-stat	control_emptyroom_DF	control_emptyroom_P-val	control_emptyroom_P-corrected
alpha_band_power	Age0:deltaAge	-0.0001759995826928	8.296902003645658e-05	-2.121268668902302	131.59907831669958	0.0357743562869863	0.3946	-0.0006213085553195	0.0002893517256835	-2.147243303463234	128.0186456701695	0.0336585848969103	0.3765	-0.0005988951040766	0.0002835967897636	-2.1117837919664475	130.87929303818058	0.0366057718178577	0.4028	-0.0001733631708137	8.073751635995052e-05	-2.1472442877839995	127.70998536159946	0.033663089872399	0.377	-0.0001759995826928	8.296902003645658e-05	-2.121268668902302	131.59907831669958	0.0357743562869863	0.3703	-0.0001768536659656	8.280323996849587e-05	-2.135830265010871	131.60299617563766	0.0345448539650082	0.3917	-0.0001511126400741	8.938338266916663e-05	-1.6906122319564645	83.5513468232643	0.0946384772145832	0.5656	-0.0001667942773182	8.0830508347495e-05	-2.0635064745753624	131.5824234849845	0.0410303097366794	0.4392							-5.919888277313488e-06	2.7408907641190436e-05	-0.2159841010379052	135.96065976850417	0.8293238409942496	1.0
alpha_peak_freq	Age0	-0.0158889833324698	0.0034221563099748	-4.642974164025423	131.15302862235586	8.230525375249941e-06	0.0001	-0.0158889833324698	0.0034221563099748	-4.642974164025423	131.15302862235586	8.230525375249941e-06	0.0001	-0.0158889833324698	0.0034221563099748	-4.642974164025423	131.15302862235586	8.230525375249941e-06	0.0001	-0.0147551627296946	0.0033390905314555	-4.418916645324583	129.4856614051473	2.07599169299058e-05	0.0003	-0.0158889833324698	0.0034221563099748	-4.642974164025423	131.15302862235586	8.230525375249941e-06	0.0	-0.0156178708253692	0.0034427808664556	-4.536411532183258	131.14739898899722	1.2775047172976658e-05	0.0	0.0037352908344804	0.0059608729531474	0.6266348677181857	108.15504774670632	0.5322190516775701	0.9974	-0.0160489842796803	0.0033120550629095	-4.845627254029378	131.1513589360738	3.504145512831322e-06	0.0							-0.0013140213193791	0.0015403443951221	-0.8530698222685437	131.99211703476547	0.3951659691668723	0.9967
alpha_peak_freq	deltaAge	-0.0162789284627137	0.0031487113985067	-5.170028752217086	131.72305957743913	8.48149530782865e-07	0.0	-0.0162789284627137	0.0031487113985067	-5.170028752217086	131.72305957743913	8.48149530782865e-07	0.0	-0.0162789284627137	0.0031487113985067	-5.170028752217086	131.72305957743913	8.48149530782865e-07	0.0	-0.0195658424048513	0.0035746152679242	-5.473551959680691	133.66034845668315	2.106340102404868e-07	0.0	-0.0162789284627137	0.0031487113985067	-5.170028752217086	131.72305957743913	8.48149530782865e-07	0.0	-0.0157773010081019	0.0031070864797968	-5.077844183189028	131.695830258192	1.2753444161571691e-06	0.0001	0.0086528747233162	0.012699789658765	0.6813400029302267	99.55007544642976	0.4972383137093451	0.9972	-0.0150692649911513	0.0030970436616689	-4.865693428109667	131.74010037718546	3.202680441759488e-06	0.0							0.0093100064173316	0.0037523171920662	2.481135240116828	135.98117033582452	0.0143161100413733	0.1789
alpha_peak_freq	Age0:deltaAge	-3.300830849051504e-05	0.000222562611229	-0.1483102139583546	132.03391597539496	0.8823242196852712	1.0	-3.300830849051504e-05	0.000222562611229	-0.1483102139583546	132.03391597539496	0.8823242196852712	1.0	-3.300830849051504e-05	0.000222562611229	-0.1483102139583546	132.03391597539496	0.8823242196852712	1.0	-4.3184064355390325e-05	0.0002241390438343	-0.1926664074970286	127.30097005393796	0.8475272633685299	1.0	-3.300830849051504e-05	0.000222562611229	-0.1483102139583546	132.03391597539496	0.8823242196852712	1.0	2.3997055782764903e-05	0.0002196253284484	0.1092636079467451	131.99485900236368	0.9131593467625216	1.0	0.0003844941335429	0.0008992255190299	0.4275836543848725	102.99930955041444	0.6698468923304914	0.9999	1.515002172445992e-05	0.0002189062929375	0.0692077944455571	132.06120989145083	0.9449289024670476	1.0							0.000271140863413	0.000264284684691	1.0259423989325505	138.21052396950518	0.3067109797595197	0.9865
beta_band_power	Age0	0.0015542583077546	0.0007627732573252	2.037641321098259	131.08246323780864	0.0435980462617659	0.4109	0.0118202971820612	0.0056734166224112	2.083453052851497	128.95103954983097	0.0391847565620561	0.378	0.0115550763929541	0.0055883116013523	2.067722277719425	126.94742236543225	0.0406973795528561	0.389	0.0018257815742042	0.0007520196517273	2.427837583779379	130.06844067566144	0.016557300593742	0.1817	0.0016829683814814	0.000809569824153	2.078842777078713	124.72415704493262	0.0396814156585125	0.3527	0.0015580772208996	0.0007323633605673	2.127464732387193	131.11049793785568	0.0352536704288772	0.344	-0.0026213254048638	0.0009982528192668	-2.6259133500761287	122.86391458569216	0.0097404791106157	0.0717	0.00140789830987	0.0007503767957598	1.87625512652526	131.08107193043685	0.0628438814099189	0.5319							0.0001997459104038	0.0002338678067685	0.8540975056113599	131.88831363258242	0.3945996379105426	0.9967
beta_band_power	deltaAge	-0.003129626644653	0.0005862452960436	-5.338425170783746	131.48026801096125	3.991791751101627e-07	0.0	-0.0209380146408817	0.0051706961239463	-4.049360886615327	148.657098058336	8.23892984791096e-05	0.0013	-0.0226237111165128	0.0044187189056981	-5.119970651977564	127.10129389949492	1.1020854166966188e-06	0.0	-0.0035374335190255	0.0006515770853009	-5.429033032049756	132.23351477550247	2.6223197994844134e-07	0.0	-0.0032750856628852	0.0006288865863564	-5.207752453204513	115.27410328227536	8.448509984707765e-07	0.0	-0.0003005682529173	0.0006269642878538	-0.4794025094255534	131.60401931269772	0.6324479992144458	1.0	-0.0031781286777294	0.0013815051027423	-2.3004827643565924	105.38914711189096	0.023390190025806	0.2033	-0.0032021444022447	0.0005718740126721	-5.599387856920231	131.47217252068657	1.2039141251183876e-07	0.0							-0.0033767762711989	0.0005995234312029	-5.632434189308394	136.3045564625597	9.773648129090327e-08	0.0
beta_band_power	Age0:deltaAge	-0.0002070364768539	4.144539899764466e-05	-4.995403153574485	131.6968946083001	1.8294432181512912e-06	0.0	-0.0014828548601118	0.0003066050794471	-4.836367560463975	128.8363913702436	3.705446019566216e-06	0.0001	-0.0015000387287337	0.0003101229834001	-4.8369157044980815	126.69069640123637	3.755043923431568e-06	0.0001	-0.0002137966915796	4.067433534098964e-05	-5.256304492434028	127.81909395081117	5.983984674061721e-07	0.0	-0.0001961733805883	4.474531678920264e-05	-4.384221515573923	114.44159262278414	2.5979711584828425e-05	0.0002	-0.0002106028436155	4.431968250031195e-05	-4.751903256844135	131.87297640888937	5.19163147672118e-06	0.0002	-0.0003063987642913	9.83420200161879e-05	-3.115644403490435	106.76308081932186	0.0023576713264031	0.0228	-0.0002159931986012	4.0429680731321534e-05	-5.342441362241622	131.68516507108762	3.912022220705415e-07	0.0							-6.979798313816322e-05	4.220698860953936e-05	-1.6537067778957324	138.78004299498153	0.1004473351977253	0.7316
beta_peak_freq	Age0	-0.031645563210444	0.0127713155375678	-2.4778624502194835	131.0542507886175	0.0144890497257346	0.1656	-0.031645563210444	0.0127713155375678	-2.4778624502194835	131.0542507886175	0.0144890497257346	0.1658	-0.031645563210444	0.0127713155375678	-2.4778624502194835	131.0542507886175	0.0144890497257346	0.1662	-0.0332988957157533	0.0129656713444816	-2.5682353679222114	130.17971637914226	0.0113504232183056	0.1318	-0.0240331821827313	0.0127739410378655	-1.8814226644298977	120.9467698338666	0.0623184497634941	0.4941	-0.029264496380836	0.012046859663754	-2.4292219879414363	131.06306372657852	0.0164864919159986	0.187	0.0114865183152478	0.0199632491477811	0.5753832069227351	117.9269410934073	0.5661284277443315	0.9988	-0.029405586724763	0.0124598595616772	-2.360025534734416	131.0545487998887	0.019749327556351	0.2147							0.0059680940415797	0.0067498994383942	0.8841752526908028	131.0349190642382	0.3782210576110085	0.9957
beta_peak_freq	deltaAge	-0.0611823754126942	0.0092612529196691	-6.606274112518234	131.40834425550332	8.936749803545952e-10	0.0	-0.0611823754126942	0.0092612529196691	-6.606274112518234	131.40834425550332	8.936749803545952e-10	0.0	-0.0611823754126942	0.0092612529196691	-6.606274112518234	131.40834425550332	8.936749803545952e-10	0.0	-0.0567183193839751	0.0105409730359419	-5.380747981289843	131.87008179504207	3.281160228721008e-07	0.0	-0.0513855442945708	0.0100197316468189	-5.128435182282004	111.56768355948913	1.241562415393394e-06	0.0	0.0108094623578041	0.0100954507560476	1.0707260744478142	131.5359305575572	0.286253377844321	0.9846	-0.0156425697694914	0.0403344585247723	-0.3878214891588102	110.29499866029904	0.6988955973486138	1.0	-0.0601805588839629	0.0091005675392164	-6.612835806627538	131.4137686321831	8.643532192036315e-10	0.0							-0.2932064308311008	0.0177610753765462	-16.50837151551558	135.6882751844853	2.9380926150093963e-34	0.0
beta_peak_freq	Age0:deltaAge	-0.0012757669618554	0.0006547663639423	-1.948430817633944	131.60112874703762	0.0534915307065767	0.5221	-0.0012757669618554	0.0006547663639423	-1.948430817633944	131.60112874703762	0.0534915307065767	0.5187	-0.0012757669618554	0.0006547663639423	-1.948430817633944	131.60112874703762	0.0534915307065767	0.5206	-0.0012490828944596	0.0006573256818933	-1.9002496462056309	127.93244185154838	0.0596506998669958	0.5578	-0.0009905372885246	0.0007129298553079	-1.389389546741309	110.72440127913968	0.1675020242328158	0.8825	-0.0006777255410818	0.0007136558574218	-0.9496531613013652	131.7936159610967	0.3440267031357465	0.9942	0.0018706871479544	0.0028612008098181	0.6538119035669316	112.76267063667966	0.5145640988795517	0.9984	-0.0008678992865145	0.0006434025607572	-1.348921094583435	131.60935161510866	0.179678670747326	0.9169							3.493015651686756e-05	0.0012500865919955	0.0279421895575318	138.30182410776638	0.9777485388046554	1.0
gamma_band_power	Age0	7.63902924909544e-05	0.000125257879649	0.6098641674679794	130.86351190871966	0.54300931017582	0.9999	0.0005678915112883	0.0049206150368099	0.1154106767223483	141.46392942332878	0.9082832771384072	1.0	0.002715694544574	0.0047892101409819	0.5670443485733566	130.58599436472977	0.5716574870075246	1.0	3.774275163334872e-05	0.0001292734506517	0.2919605800191046	132.1498179986443	0.7707746019113307	1.0	7.63902924909544e-05	0.000125257879649	0.6098641674679794	130.86351190871966	0.54300931017582	0.9998	8.115078439976481e-05	0.0001253796652996	0.6472403974424771	132.1008473434815	0.5185995216242354	0.9999							0.0001157784926194	0.0001273111136998	0.9094138701229244	131.4891749172245	0.3647956432285046	0.9952							-0.0001493333814494	0.0001187587745669	-1.2574513503867402	261.999999994325	0.2097099301861082	0.9275
gamma_band_power	deltaAge	-0.0005783247752794	0.0002466367886093	-2.3448439243002577	133.8893686932884	0.0205050367381887	0.2596	-0.0262148954805783	0.009621300361039	-2.72467280896188	140.65096605142026	0.0072539324027257	0.1067	-0.0205760253942895	0.0096278734320929	-2.137130856509058	141.82307912721828	0.0343028006831183	0.3863	-0.0004714119779387	0.0002695313497214	-1.7490061116301272	147.63055661125327	0.0823682607301918	0.6731	-0.0005783247752794	0.0002466367886093	-2.3448439243002577	133.8893686932884	0.0205050367381887	0.2433	-0.0002739417374095	0.0002453674220488	-1.1164552128483602	133.23115977025407	0.2662368060859951	0.9785							-0.0006070977419751	0.0002564064063999	-2.367716745064849	134.3530255955704	0.0193241126266151	0.2494							-0.0026484263350339	0.0003174884780091	-8.34180298964421	261.9999999951735	4.2154929848569105e-15	0.0
gamma_band_power	Age0:deltaAge	1.1272104717006748e-05	1.7350262100938482e-05	0.6496792181829365	134.6109028053403	0.5170065509862032	1.0	0.0003113810282613	0.0006615193798193	0.4707058292780836	136.04270087286335	0.638604652311563	1.0	0.0004679919632019	0.0006644453171046	0.7043348055206259	135.48830701502152	0.4824331594080346	0.9999	1.2389424281495363e-05	1.736845486426847e-05	0.7133291002749877	132.74037833972375	0.4768943671130294	0.9998	1.1272104717006748e-05	1.7350262100938482e-05	0.6496792181829365	134.6109028053403	0.5170065509862032	1.0	9.094191036157264e-06	1.7425254382867862e-05	0.521897175004715	135.68904640708655	0.6025928313905182	1.0							4.704989426631991e-06	1.8065554567402875e-05	0.260439800454373	135.68646732252938	0.7949193654927943	1.0							1.6724269916849144e-05	2.2342447462880544e-05	0.7485424300374716	261.999999993911	0.4548044791813284	0.9995
gamma_peak_freq	Age0	-0.0035516005314357	0.0063051528449465	-0.5632853982726659	131.68491417304168	0.5741984371453066	1.0	-0.0035516005314357	0.0063051528449465	-0.5632853982726659	131.68491417304168	0.5741984371453066	1.0	-0.0035516005314357	0.0063051528449465	-0.5632853982726659	131.68491417304168	0.5741984371453066	1.0	-0.0030027948149417	0.0066351083625469	-0.4525615334169222	126.8639354836914	0.6516374548714363	1.0	-0.0035516005314357	0.0063051528449465	-0.5632853982726659	131.68491417304168	0.5741984371453066	0.9999	-0.0054910221774288	0.0069127619453397	-0.7943311545873019	133.24803911429717	0.428415107476632	0.9985							-0.0093669854861388	0.0070407835291485	-1.33038964305037	131.935352171597	0.1856849089888347	0.9034							0.0054697669992862	0.0019234535847492	2.843721856693136	261.9999999990379	0.0048105529642442	0.0571
gamma_peak_freq	deltaAge	0.0473914367010624	0.0147150016813757	3.220620542710788	135.97973132805063	0.0016003288075224	0.0255	0.0473914367010624	0.0147150016813757	3.220620542710788	135.97973132805063	0.0016003288075224	0.0256	0.0473914367010624	0.0147150016813757	3.220620542710788	135.97973132805063	0.0016003288075224	0.0256	0.0412841008823813	0.015523756826703	2.6594142992092498	145.0408952447655	0.0087078373041166	0.1243	0.0473914367010624	0.0147150016813757	3.220620542710788	135.97973132805063	0.0016003288075224	0.0237	0.0410965522108192	0.015213723133095	2.7012817211994737	135.11085510905409	0.0077924468355458	0.1144							0.0544201452366467	0.0160150900985753	3.3980542664251283	135.6869743338543	0.0008910960668923	0.0156							0.0449639464438697	0.0051421408933366	8.744207398544017	261.9999999997436	2.765372600787906e-16	0.0
gamma_peak_freq	Age0:deltaAge	0.0013830717028527	0.0010345199221831	1.336921284158642	137.23829455394014	0.1834602513436851	0.9197	0.0013830717028527	0.0010345199221831	1.336921284158642	137.23829455394014	0.1834602513436851	0.9214	0.0013830717028527	0.0010345199221831	1.336921284158642	137.23829455394014	0.1834602513436851	0.9214	0.0013729244201961	0.0010073639706546	1.362888151840467	129.1193141232422	0.1752899006546242	0.9092	0.0013830717028527	0.0010345199221831	1.336921284158642	137.23829455394014	0.1834602513436851	0.9041	0.0018633436500709	0.0010791471250884	1.7266817533506398	138.0356307572619	0.0864619925032107	0.6967							0.002713563696192	0.0011275795160519	2.406538658748577	137.43269013492915	0.0174335232287977	0.2308							-9.644654570379712e-05	0.0003618651406707	-0.2665262133982535	261.9999999994443	0.7900436157525652	1.0
