Parameter	Effect	basic_main_Estimate	basic_main_SE	basic_main_T-stat	basic_main_DF	basic_main_P-val	basic_main_P-corrected	onecov_emptyroom_Estimate	onecov_emptyroom_SE	onecov_emptyroom_T-stat	onecov_emptyroom_DF	onecov_emptyroom_P-val	onecov_emptyroom_P-corrected	onecov_ecg_Estimate	onecov_ecg_SE	onecov_ecg_T-stat	onecov_ecg_DF	onecov_ecg_P-val	onecov_ecg_P-corrected	sixcov_Estimate	sixcov_SE	sixcov_T-stat	sixcov_DF	sixcov_P-val	sixcov_P-corrected	control_ignorepeaks_Estimate	control_ignorepeaks_SE	control_ignorepeaks_T-stat	control_ignorepeaks_DF	control_ignorepeaks_P-val	control_ignorepeaks_P-corrected	control_nointerpol_Estimate	control_nointerpol_SE	control_nointerpol_T-stat	control_nointerpol_DF	control_nointerpol_P-val	control_nointerpol_P-corrected	control_cardiacMEGonly_Estimate	control_cardiacMEGonly_SE	control_cardiacMEGonly_T-stat	control_cardiacMEGonly_DF	control_cardiacMEGonly_P-val	control_cardiacMEGonly_P-corrected	control_withcardiac_Estimate	control_withcardiac_SE	control_withcardiac_T-stat	control_withcardiac_DF	control_withcardiac_P-val	control_withcardiac_P-corrected	control_ECGchannel_Estimate	control_ECGchannel_SE	control_ECGchannel_T-stat	control_ECGchannel_DF	control_ECGchannel_P-val	control_ECGchannel_P-corrected	control_emptyroom_Estimate	control_emptyroom_SE	control_emptyroom_T-stat	control_emptyroom_DF	control_emptyroom_P-val	control_emptyroom_P-corrected
beta_peak_freq	deltaAge	-0.0490449938803608	0.0112036696050556	-4.377583024960784	131.48252593986192	2.4256102036878847e-05	0.0004	-0.0490449938803608	0.0112036696050556	-4.377583024960784	131.48252593986192	2.4256102036878847e-05	0.0004	-0.0490449938803608	0.0112036696050556	-4.377583024960784	131.48252593986192	2.4256102036878847e-05	0.0004	-0.0447289490553483	0.0125307284163704	-3.5695410170180755	131.74112873853957	0.0004996977764209	0.0068	-0.0429916703129618	0.0116719963588612	-3.683317659735468	112.2251745002896	0.0003558151742291	0.0054	0.0193264143403155	0.0113425949470391	1.7038794412173324	131.55382763557446	0.0907645840960768	0.7243	-0.0155456562054742	0.0404701203509012	-0.3841267599573134	110.38262660268892	0.7016234677695337	0.9999	-0.0495243329894133	0.0105628478679824	-4.688539833990142	131.45636482522664	6.793624756099178e-06	0.0001							-0.2266817973592785	0.0203431039983311	-11.142930664753717	136.1445104765951	6.758717596622225e-21	0.0
beta_peak_freq	Age0:deltaAge	-0.0013476626068033	0.0007920370217698	-1.7015146637866587	131.7134253869976	0.091205801506516	0.7228	-0.0013476626068033	0.0007920370217698	-1.7015146637866587	131.7134253869976	0.091205801506516	0.7239	-0.0013476626068033	0.0007920370217698	-1.7015146637866587	131.7134253869976	0.091205801506516	0.7263	-0.0012369763229455	0.0007822473173327	-1.5813110451606496	127.31259456719236	0.1162881544047197	0.8037	-0.0005509617071162	0.0008360860266009	-0.6589772937076198	111.80725743019995	0.5112652280027847	0.9998	-0.0009790995310833	0.0008017974851737	-1.2211307084246352	131.82469283925315	0.2242160424457463	0.9614	0.0018358683946083	0.0028707386029161	0.6395108188336881	112.858709279095	0.5237866632502594	0.9983	-0.0013275817876663	0.0007467534424529	-1.777804710622238	131.6738960188907	0.0777441955540466	0.6727							0.0008043041476937	0.0014321050281003	0.5616237160766246	138.64647621311397	0.5752791355396968	1.0
gamma_band_power	Age0	1.6772800501848762e-05	0.0001515908913511	0.1106451736799825	125.67349268449738	0.9120742281133264	1.0	-0.0034628157260872	0.0047491504772782	-0.7291442422501958	130.0110779818571	0.4672249408867396	0.9998	0.0002485605678763	0.0046729733087763	0.0531910951448249	123.85728190748333	0.9576653477582956	1.0	3.898501890502367e-05	0.0001574691411191	0.2475724362751621	127.74097013336235	0.8048627318712445	1.0	1.6772800501848762e-05	0.0001515908913511	0.1106451736799825	125.67349268449738	0.9120742281133264	1.0	1.3066166041005926e-05	0.0001501612978222	0.0870142055942428	122.8816883556768	0.930801854027924	1.0							0.0001972819337434	0.0001564608059512	1.2609032181828337	111.83743740868223	0.2099678021376988	0.9364							-0.0001705954129779	0.0001067391154063	-1.5982464565927372	262.0000000020001	0.1111934081040191	0.7505
gamma_band_power	deltaAge	-6.81785682538797e-05	0.0003496163186832	-0.1950096852190881	126.95062824437784	0.8456971174499797	1.0	-0.0086888657358755	0.0106878095874375	-0.8129697357341058	130.8589259201654	0.4177120443937575	0.9986	0.0001266274379952	0.0110740782860124	0.0114345803528613	131.5590918071747	0.990894045409178	1.0	-5.91372588399901e-05	0.0003795542997479	-0.1558071108119681	145.00858570853694	0.8764017535428075	1.0	-6.81785682538797e-05	0.0003496163186832	-0.1950096852190881	126.95062824437784	0.8456971174499797	1.0	9.681431341594506e-05	0.0003274662050604	0.2956467321507851	123.6941576928078	0.767995607560819	1.0							-2.818001982923584e-05	0.0003513188019511	-0.0802121027190368	116.5681736387731	0.936206112891979	1.0							-0.0021190943435481	0.0002853552456899	-7.426162215537256	262.0000000018454	1.5736862298736486e-12	0.0
gamma_band_power	Age0:deltaAge	-1.2904465912787887e-06	2.4953644848053264e-05	-0.0517137516036845	131.44987458823852	0.9588352828907176	1.0	-0.0002822438456258	0.0007548805233978	-0.3738920754710351	131.50008116053706	0.709086763075193	1.0	2.1250131921017192e-05	0.000781157052918	0.0272034053096439	131.5940730410285	0.9783387104396976	1.0	-1.0227063707848002e-06	2.5116178383783485e-05	-0.0407190279969153	130.26088796237832	0.967582237004858	1.0	-1.2904465912787887e-06	2.4953644848053264e-05	-0.0517137516036845	131.44987458823852	0.9588352828907176	1.0	2.128955342348389e-05	2.326412750561142e-05	0.9151236562965344	126.38563540150288	0.3618694073129956	0.9966							-4.313065696688129e-06	2.4968021946439277e-05	-0.1727435880159189	117.82890170727696	0.863149357685448	1.0							5.490186693468173e-06	2.00811526297421e-05	0.2733999783128327	262.00000000184974	0.7847611627918869	1.0
gamma_peak_freq	Age0	0.0017183142416855	0.0078392476572447	0.2191937692002352	133.75844286996414	0.8268332348675584	1.0	0.0017183142416855	0.0078392476572447	0.2191937692002352	133.75844286996414	0.8268332348675584	1.0	0.0017183142416855	0.0078392476572447	0.2191937692002352	133.75844286996414	0.8268332348675584	1.0	0.0015180541264529	0.0082880140508508	0.1831625908376855	129.52358842433512	0.8549568508856237	1.0	0.0017183142416855	0.0078392476572447	0.2191937692002352	133.75844286996414	0.8268332348675584	1.0	0.0017966662050637	0.0086975890618451	0.2065706016102139	131.00254601469274	0.8366659363161202	1.0							-0.0022847995717513	0.0084948248859055	-0.2689637046600296	119.88127713176068	0.7884199557609233	1.0							0.0050437548143257	0.0023961834027349	2.1049118396233606	262.0000000010707	0.0362513294568009	0.3559
gamma_peak_freq	deltaAge	0.0448240029274911	0.019600386129876	2.286893871910394	136.63040621688197	0.023739222628353	0.297	0.0448240029274911	0.019600386129876	2.286893871910394	136.63040621688197	0.023739222628353	0.2991	0.0448240029274911	0.019600386129876	2.286893871910394	136.63040621688197	0.023739222628353	0.2968	0.0315186349215733	0.0206178019274139	1.5287097544411536	147.4495050311384	0.128478842159107	0.8326	0.0448240029274911	0.019600386129876	2.286893871910394	136.63040621688197	0.023739222628353	0.2782	0.0434915403076655	0.0209215990638888	2.07878662500196	133.97954663257624	0.039544395959306	0.4381							0.0510100940455236	0.0213737193122568	2.386580140793355	126.40614968161094	0.0184885199582033	0.2432							0.0405333639069396	0.0064059318929413	6.327473439360691	262.0000000008842	1.0730186580001454e-09	0.0
gamma_peak_freq	Age0:deltaAge	0.001053931861761	0.0013968622796826	0.7544994786461547	141.4587020975425	0.4518035757915821	0.9986	0.001053931861761	0.0013968622796826	0.7544994786461547	141.4587020975425	0.4518035757915821	0.9986	0.001053931861761	0.0013968622796826	0.7544994786461547	141.4587020975425	0.4518035757915821	0.9989	0.0010934388601313	0.0013669870637077	0.7998896911032588	133.06698832121475	0.4252003580285356	0.9984	0.001053931861761	0.0013968622796826	0.7544994786461547	141.4587020975425	0.4518035757915821	0.9987	0.0016498983327105	0.0014846079681893	1.111336034874376	137.02755045898536	0.2683698835602691	0.9817							0.0022967029353709	0.0015179715188667	1.5130079232880251	128.14253785786352	0.1327401095592642	0.8462							-0.0001913296426935	0.0004508012311701	-0.4244212958267481	262.000000001622	0.6716068898339345	1.0
low_alpha_band_power	Age0	0.0015211315413865	0.0019153570145289	0.7941765059192261	131.11581817495974	0.428527732940407	0.9992	0.0040038045418637	0.0056342082783839	0.7106241629768314	126.14075144362016	0.4786289961900908	0.9998	0.0057130098447504	0.0057300570627416	0.9970249479534636	133.5983655431602	0.3205548078076223	0.9914	0.0015950615279431	0.0018512304057405	0.8616223690994795	130.07858939606118	0.3904809093502517	0.998	0.0015211315413865	0.0019153570145289	0.7941765059192261	131.11581817495974	0.428527732940407	0.9984	0.0013710343191661	0.0019171570453077	0.7151392852879745	131.11577148767944	0.4757944534677152	0.9997							0.0014830222175212	0.0018814791847784	0.7882214321153459	131.1084656879476	0.4319900340411566	0.999							-8.906987391012926e-05	0.0001793461591955	-0.4966366400577933	131.83071514174574	0.6202724437608871	1.0
low_alpha_band_power	deltaAge	-0.0024042459395158	0.0015367505024499	-1.5644998558210044	131.54928068519237	0.1201026860185101	0.8111	-0.007108223656721	0.0046358946879147	-1.533301365807847	124.67112551815872	0.1277353979851533	0.832	-0.0070940408251279	0.0045387683863678	-1.5629880666382774	131.02947941646335	0.1204674207699576	0.8142	-0.0019611119919337	0.0017382728427308	-1.1281957260822308	132.9239487653578	0.2612694650198564	0.9777	-0.0024042459395158	0.0015367505024499	-1.5644998558210044	131.54928068519237	0.1201026860185101	0.7893	-0.0022559030262463	0.001534600120448	-1.470026618783105	131.5472106495279	0.1439422712432763	0.8708							-0.00261896574845	0.0014528809347424	-1.802601772673365	131.5099792796246	0.0737408491143364	0.6519							0.0017777969980021	0.0004002153487215	4.442100993080714	135.17970259619491	1.836962259135936e-05	0.0001
low_alpha_band_power	Age0:deltaAge	-0.0002487510164362	0.0001086386187393	-2.289710779855866	131.78541817843757	0.0236275021914409	0.2976	-0.0008084422847916	0.0003336861647048	-2.4227623746600275	127.2555385534212	0.016810896637091	0.2247	-0.0007226850845732	0.0003210041356467	-2.2513263983883243	131.40618446386918	0.0260252812377181	0.3197	-0.0002471119022771	0.0001086740021587	-2.2738824131660254	127.83780296215691	0.02464024950342	0.3081	-0.0002487510164362	0.0001086386187393	-2.289710779855866	131.78541817843757	0.0236275021914409	0.2782	-0.0002630767326661	0.000108486827876	-2.424964742878689	131.7822422532909	0.0166649160856473	0.228							-0.0001882104561708	0.0001027129688714	-1.832392328239249	131.72866298025363	0.0691514344184158	0.6312							1.1222305586326692e-05	2.8207001521552035e-05	0.397855318926831	137.04311507973804	0.6913559057364917	1.0
low_alpha_peak_freq	Age0	-0.0064149400438475	0.0020127041881537	-3.187224472232121	131.4121826150956	0.0017952085954485	0.0206	-0.0064149400438475	0.0020127041881537	-3.187224472232121	131.4121826150956	0.0017952085954485	0.0206	-0.0064149400438475	0.0020127041881537	-3.187224472232121	131.4121826150956	0.0017952085954485	0.0204	-0.0060595317042217	0.0020632812833505	-2.936842277937872	130.36389385473174	0.0039212805090096	0.047	-0.0064149400438475	0.0020127041881537	-3.187224472232121	131.4121826150956	0.0017952085954485	0.0182	-0.0065425406911602	0.002018454014335	-3.241362272657765	131.42425575144264	0.0015074733376282	0.0172							-0.0069377926232886	0.0020130010018685	-3.4464923846777604	131.4103993740299	0.0007631027874459	0.0082							-0.0003471561137188	0.0012417487721324	-0.2795703297718662	261.9999999956464	0.7800277499584326	1.0
low_alpha_peak_freq	deltaAge	-0.0039655320597709	0.0032137364240784	-1.233931952247182	133.1283076149265	0.2194021847006427	0.9579	-0.0039655320597709	0.0032137364240784	-1.233931952247182	133.1283076149265	0.2194021847006427	0.959	-0.0039655320597709	0.0032137364240784	-1.233931952247182	133.1283076149265	0.2194021847006427	0.959	-0.002823163309001	0.0035821631109549	-0.7881169063372145	142.19956985959283	0.4319401537105184	0.9993	-0.0039655320597709	0.0032137364240784	-1.233931952247182	133.1283076149265	0.2194021847006427	0.9478	-0.0054350647078866	0.0032811878834467	-1.6564320303954383	133.20295518753764	0.099988141154382	0.7562							-0.0052471801395832	0.0030482648886067	-1.7213661972734755	132.9539818396142	0.0875103489165761	0.7083							-0.0006729949797775	0.0033196783073219	-0.2027289747603406	261.9999999958366	0.8395042179111925	1.0
low_alpha_peak_freq	Age0:deltaAge	-0.0004261837332273	0.0002268885671644	-1.8783834661814007	134.07214547774743	0.0625003502662403	0.5883	-0.0004261837332273	0.0002268885671644	-1.8783834661814007	134.07214547774743	0.0625003502662403	0.5881	-0.0004261837332273	0.0002268885671644	-1.8783834661814007	134.07214547774743	0.0625003502662403	0.5883	-0.0004406241395513	0.0002286438361646	-1.9271201312155488	129.60634162408934	0.0561529794789048	0.5487	-0.0004261837332273	0.0002268885671644	-1.8783834661814007	134.07214547774743	0.0625003502662403	0.5593	-0.0004395246447591	0.000231635538108	-1.8974836432660669	134.18165360657227	0.0599126455248445	0.5765							-0.0002912209323831	0.0002152449520215	-1.352974504851508	133.80185315975834	0.1783454603060696	0.9212							-3.233407478903498e-05	0.0002336139523553	-0.1384081492694661	261.9999999962972	0.8900241757527486	1.0
high_alpha_band_power	Age0	-0.0043126008769734	0.0013965544386969	-3.0880291934751254	131.15316457994243	0.0024596473554105	0.0273	-0.0186402403134945	0.0053470407959309	-3.486085299307927	133.15252100355107	0.0006643158199121	0.0078	-0.0167481164470244	0.0054299122601621	-3.0844175088980608	131.27722170883064	0.0024871891611598	0.03	-0.003819018831664	0.0013714748167331	-2.7846073329737844	131.01160253330906	0.006153866819116	0.072	-0.0043126008769734	0.0013965544386969	-3.0880291934751254	131.15316457994243	0.0024596473554105	0.0252	-0.0042797781058672	0.0013789953862411	-3.103547806300398	131.39532810521123	0.002341835375389	0.0279							-0.0041266246785715	0.0013440866821299	-3.070207251835944	131.16487648889637	0.0026005975761298	0.0302							-0.0001892599750332	0.0001578445869263	-1.1990273389709438	132.06450238676558	0.2326642835437541	0.9591
high_alpha_band_power	deltaAge	-0.0065790681108927	0.001368446772168	-4.807690181818081	131.799652757069	4.100713037345719e-06	0.0	-0.0248115718028707	0.0051418157114911	-4.825449451138598	131.16340028540824	3.818728004719785e-06	0.0	-0.0255240546492752	0.0053293678321726	-4.789321257802885	130.6350002069871	4.468241736399142e-06	0.0	-0.0078210999860693	0.00152126840657	-5.141170323587651	135.593395894115	9.336605400126638e-07	0.0	-0.0065790681108927	0.001368446772168	-4.807690181818081	131.799652757069	4.100713037345719e-06	0.0	-0.0059749862008975	0.0013637122935099	-4.381412581915575	130.97331293440897	2.3947225630840776e-05	0.0004							-0.0067087429651653	0.001374235701659	-4.881799357319838	131.86873213098173	2.986193009008633e-06	0.0							0.0021367696772568	0.0003944076651034	5.417667723816782	136.26075016569192	2.6552211982321986e-07	0.0
high_alpha_band_power	Age0:deltaAge	4.047770382784204e-05	9.671922523441554e-05	0.4185073208530922	132.15241140410225	0.6762555785594146	0.9999	-0.0001035765652954	0.0003703343081416	-0.279683958570319	134.03268162844174	0.7801511342713338	1.0	0.0001526339589594	0.0003753675099274	0.4066253869146488	130.5733608924716	0.6849488664013708	1.0	3.2082365550692515e-05	9.547552957736288e-05	0.3360271023654966	128.85537899265492	0.7373969790079918	1.0	4.047770382784204e-05	9.671922523441554e-05	0.4185073208530922	132.15241140410225	0.6762555785594146	1.0	6.840537179641705e-05	9.643329795327188e-05	0.709354271276337	131.31642550223947	0.4793622367308522	0.9997							2.410170385580991e-05	9.71225944458598e-05	0.2481575373199612	132.25295862649284	0.8043974208329112	1.0							-1.819799631396834e-05	2.7773047750372043e-05	-0.6552394421215282	138.60918917758818	0.513399590296517	1.0
