theta_band_power,Aperiodic_mode,Counts
0.5211681092173317,Fixed,105
0.40157191783779733,Fixed,40
0.10216446526242248,Fixed,10
0.24395131728277958,Fixed,17
0.22798733151694311,Fixed,88
0.36268763840957013,Fixed,82
0.46215745664765673,Fixed,41
0.2085404287932626,Fixed,31
1.0382989866956067,Fixed,160
0.15507141763525778,Fixed,38
0.762367117339097,Fixed,195
0.1899661256427988,Fixed,100
0.32916962391052856,Fixed,55
0.31510447176716383,Fixed,139
0.16182733003087446,Fixed,74
0.6593056348179235,Fixed,39
0.4798809170348171,Fixed,31
0.2940154197808214,Fixed,138
0.33123204323508837,Fixed,12
0.14270034390632264,Fixed,49
0.2600587764975124,Fixed,33
0.8784601651337093,Fixed,50
0.3760105474658135,Fixed,62
0.268051665943279,Fixed,2
0.30945838832179573,Fixed,65
0.9547710351819548,Fixed,146
0.5369118904640859,Fixed,78
0.4706997124922118,Fixed,163
0.18143940058057625,Fixed,84
0.12167262283993219,Fixed,65
0.4206655482519759,Fixed,115
0.18755594007808807,Fixed,53
0.43029898254485827,Fixed,144
0.15038157677090713,Fixed,81
0.08575530655584561,Fixed,28
0.23661344613932606,Fixed,70
0.6338452663279512,Fixed,137
0.20066376138400627,Fixed,32
0.20615067619139119,Fixed,60
0.22629311298878557,Fixed,90
0.22920278023161314,Fixed,102
0.2018664291835761,Fixed,125
0.2560374398785828,Fixed,70
0.37400050371972043,Fixed,52
0.10764314601240485,Fixed,83
0.17694768581071826,Fixed,43
0.27754420851818673,Fixed,175
0.8990553956719843,Fixed,154
0.2018965235148199,Fixed,131
0.23889969858811827,Fixed,146
0.15953301508417064,Fixed,24
0.2459349596661471,Fixed,33
0.5259549014725479,Fixed,141
0.284510904765918,Fixed,41
0.18312264655210392,Fixed,7
0.121087743003952,Fixed,10
0.5609252785590545,Fixed,193
0.12807650811468116,Fixed,63
0.37991920284472264,Fixed,41
0.23849610514321457,Fixed,103
0.3280193347994135,Fixed,62
0.25120777277356265,Fixed,108
0.16606681480372854,Fixed,100
0.5654723711744697,Fixed,84
0.2798455883389955,Fixed,151
0.2870981673393335,Fixed,142
0.36909856484087245,Fixed,16
0.07463150607292941,Fixed,15
0.23664792337999133,Fixed,64
0.21845732950019334,Fixed,66
0.41351610947043715,Fixed,66
0.9981271728418856,Fixed,155
0.31222191122515675,Fixed,108
0.2059583751033692,Fixed,116
0.21570301510946063,Fixed,154
0.22479404640264683,Fixed,42
0.19572358971720175,Fixed,60
0.35337451001502973,Fixed,38
0.4432990482552266,Fixed,132
0.18614971578553396,Fixed,144
0.5586077021406601,Fixed,38
0.8752710373375655,Fixed,128
0.18787577659435728,Fixed,15
0.1214953822656106,Fixed,2
0.7000386563919989,Fixed,54
0.08650961739596587,Fixed,19
0.17850509918285118,Fixed,112
0.32568065635268945,Fixed,128
0.19012337533069926,Fixed,87
0.388649069105131,Fixed,93
0.09814877394534582,Fixed,12
0.4807751506700835,Fixed,125
0.7368783228897985,Fixed,173
0.22313826673628273,Fixed,110
0.5422375573725915,Fixed,27
0.35600918463393033,Fixed,175
0.27742844925135035,Fixed,99
0.4190965696057873,Fixed,90
0.7064883037937474,Fixed,78
0.40749836365218023,Fixed,72
0.536558425069729,Fixed,18
0.26057401961694665,Fixed,12
0.277575866068765,Fixed,101
0.5176599287746254,Fixed,75
0.9786195430279528,Fixed,140
0.324325550237123,Fixed,59
0.5978699039893307,Fixed,40
0.2879858088309912,Fixed,138
0.811740984649379,Fixed,85
0.554087219473518,Fixed,185
0.47667421307223573,Fixed,157
0.40721069656562914,Fixed,101
0.2155947518005047,Fixed,33
0.4083913040273054,Fixed,41
0.20445088821892407,Fixed,53
0.6612948382031879,Fixed,56
0.6379196200803467,Fixed,86
0.5503183844503055,Fixed,18
0.47892623910268195,Fixed,90
0.5532086701046576,Fixed,28
0.5373101187838571,Fixed,95
0.6239907149271986,Fixed,129
0.4942009194432459,Fixed,160
0.2743594164510592,Fixed,86
0.4677775266508949,Fixed,77
0.09194000021968003,Fixed,19
0.5729176706660777,Fixed,175
0.6753605982975576,Fixed,34
0.42757528711517456,Fixed,84
0.41608054871185124,Fixed,132
0.2561966067385559,Fixed,47
0.09379645839779682,Fixed,27
0.2675580830175409,Fixed,64
0.5026116238677352,Fixed,139
0.4555625550150542,Fixed,30
0.34889576688497165,Fixed,14
0.20356008463921071,Fixed,31
0.2481145708889561,Fixed,77
0.49957986565725704,Fixed,70
0.4290952848467753,Fixed,130
0.23354569090653657,Fixed,86
0.9387773990182615,Fixed,200
0.16981296670345708,Fixed,9
0.6291999843032311,Fixed,196
0.31949123627177856,Fixed,181
0.29449531687853897,Fixed,112
0.4685042302266292,Fixed,138
0.09792708276860933,Fixed,5
0.5908982193497312,Fixed,110
0.34934947606484695,Fixed,31
0.3002909286297916,Fixed,75
0.2735834716201139,Fixed,4
0.1392885111233287,Fixed,34
0.27897025458360514,Fixed,29
0.8495432155900146,Fixed,80
0.5692764019434138,Fixed,89
0.17004057013789742,Fixed,20
0.2662190995901062,Fixed,47
0.7815363109979249,Fixed,166
0.6255585616189443,Fixed,99
